sma_window1,sma_window2,ema_window1,ema_window2,macd_fastperiod,macd_slowperiod,macd_signalperiod,adx_window,sar_acceleration,sar_maximum,obv_window,ad_window,adosc_fastperiod,adosc_slowperiod,mfi_window,custom_volume_window,rsi_window,stoch_fastk,stoch_slowk,stoch_slowk_matype,stoch_slowd,stoch_slowd_matype,cci_window,willr_window,mom_window,cmo_window,dx_window,macdext_fast,macdext_fast_matype,macdext_slow,macdext_slow_matype,macdext_signal,macdext_signal_matype,macdfix_window,minus_di_window,minus_dm_window,plus_di_window,plus_dm_window,ppo_fast,ppo_slow,ppo_matype,roc_window,rocp_window,rocr_window,rocr100_window,stochf_fastk,stochf_fastd,stochf_fastd_matype,stochrsi_time,stochrsi_fastk,stochrsi_fastd,stochrsi_fastd_matype,trix_window,ultosc_p1,ultosc_p2,ultosc_p3,atr_window,natr_window,trange_window,bbands_timeperiod,bbands_nbdevup,bbands_nbdevdn,bbands_matype,stddev_window,value
40,44,35,59,12,26,11,19,0.03736880591817006,0.15788772446760774,13,20,8,11,18,23,17,17,3,2,3,4,10,15,5,22,12,15,1,27,4,10,2,15,30,27,21,29,20,24,1,20,17,7,5,18,5,4,15,2,5,0,22,5,12,22,11,10,22,25,2.2216409804765327,2.6599181050835825,1,14,423.42
35,43,38,56,9,27,13,19,0.0301110339160953,0.11155472224306281,11,20,7,22,16,22,22,16,3,2,3,4,11,18,6,23,13,14,2,34,4,9,1,15,30,28,22,30,19,22,2,20,16,5,13,17,5,3,12,2,4,1,25,5,15,20,13,11,20,25,2.1419827787838055,2.528833958856851,2,11,400.86
36,41,5,64,9,29,11,21,0.03203702933748017,0.1784708689599614,12,20,8,10,16,21,18,14,3,1,2,4,14,17,6,19,21,12,1,29,4,11,2,14,26,25,19,28,20,24,2,17,13,7,5,21,5,3,13,2,4,0,23,6,15,21,12,24,25,23,2.448770682633867,2.542449874136939,1,16,482.19
36,41,5,64,9,29,11,21,0.032506431844486865,0.1723607226788683,12,20,8,10,16,20,18,14,3,1,2,4,14,17,6,19,22,13,1,29,4,12,2,14,28,26,20,28,20,24,2,7,13,7,5,20,5,3,13,2,4,0,23,5,15,22,12,28,25,23,2.4443364309225215,2.562926754153308,1,13,482.96
36,40,5,64,8,26,9,23,0.03247615270470243,0.17656963062519793,12,19,7,10,16,20,19,14,3,1,2,4,14,15,6,19,22,12,0,28,4,12,2,14,26,30,20,28,19,21,2,6,13,7,5,21,5,3,10,2,4,0,23,6,15,21,12,26,25,22,2.436543412223192,2.549663305032167,1,16,482.69
36,40,5,64,9,26,9,22,0.03274041212575204,0.17917503300950843,12,19,7,10,16,20,19,14,3,1,2,4,14,15,6,19,22,12,0,28,4,11,2,14,26,30,20,27,19,20,2,6,12,9,5,21,5,3,10,2,4,0,23,6,17,21,12,27,25,22,2.5878031972814886,2.5585621972123764,1,16,469.71
36,46,9,70,8,23,8,23,0.03669521750432069,0.13318378146998366,10,20,7,10,16,17,18,12,3,1,2,4,16,12,6,21,24,15,0,29,4,12,2,14,26,26,19,28,19,21,2,7,11,7,5,20,5,3,11,2,4,0,24,6,16,21,11,28,25,23,2.4383190698881183,2.5303900069715097,1,18,484.28
36,46,7,70,8,22,7,23,0.03652913005433168,0.1318336215452946,10,7,7,10,16,17,18,12,3,0,2,4,16,12,16,17,25,16,0,26,4,12,2,14,26,26,21,27,19,21,2,7,11,7,6,20,5,3,11,2,4,1,25,6,16,21,10,29,27,23,2.4360445164562967,2.5339856072335585,1,18,387.69
34,45,8,68,8,24,8,20,0.0417197266958816,0.2215722428528822,10,19,7,11,14,18,20,12,3,1,2,4,30,13,6,18,21,15,0,29,4,13,2,14,25,28,23,24,18,22,1,8,9,8,7,20,5,3,11,2,4,0,24,6,16,21,11,25,25,24,2.518353229420423,2.4553460744559747,1,17,462.0
40,53,9,74,9,25,8,22,0.03169076215815941,0.18411913464595628,12,20,7,10,17,15,16,13,3,1,2,4,18,10,8,21,25,17,0,31,4,11,2,13,29,29,19,25,17,47,2,7,11,10,6,21,5,3,12,2,4,0,21,6,15,20,13,28,25,21,2.696848638188634,2.6289236559113056,1,19,430.85
